,prx,time (s),epc96
0,-31,29.007038,e280116060000205403de047
783,-30,29.031935,e280116060000205403e136b
1,-29,29.054412,e280116060000205403de047
784,-32,29.068777,e280116060000205403e136b
2,-31,29.092327,e280116060000205403de047
3,-31,29.105703,e280116060000205403de047
785,-33,29.130242,e280116060000205403e136b
4,-31,29.147751,e280116060000205403de047
786,-32,29.167528,e280116060000205403e136b
5,-30,29.188386,e280116060000205403de047
787,-29,29.20834,e280116060000205403e136b
6,-29,29.229741,e280116060000205403de047
788,-32,29.250377,e280116060000205403e136b
7,-31,29.270009,e280116060000205403de047
789,-33,29.288813,e280116060000205403e136b
8,-32,29.310913,e280116060000205403de047
790,-34,29.32667,e280116060000205403e136b
9,-31,29.350487,e280116060000205403de047
10,-32,29.364363,e280116060000205403de047
791,-33,29.388524,e280116060000205403e136b
792,-33,29.401664,e280116060000205403e136b
793,-33,29.426161,e280116060000205403e136b
794,-33,29.4384,e280116060000205403e136b
795,-33,29.464045,e280116060000205403e136b
11,-31,29.483626,e280116060000205403de047
796,-30,29.505509,e280116060000205403e136b
12,-30,29.520932,e280116060000205403de047
797,-33,29.546775,e280116060000205403e136b
13,-30,29.561163,e280116060000205403de047
14,-31,29.588053,e280116060000205403de047
15,-30,29.600337,e280116060000205403de047
798,-29,29.625257,e280116060000205403e136b
799,-31,29.644435,e280116060000205403e136b
800,-31,29.671335,e280116060000205403e136b
16,-30,29.685386,e280116060000205403de047
17,-31,29.709716,e280116060000205403de047
801,-32,29.725952,e280116060000205403e136b
18,-30,29.747392,e280116060000205403de047
802,-33,29.767201,e280116060000205403e136b
19,-30,29.784509,e280116060000205403de047
803,-32,29.808928,e280116060000205403e136b
804,-31,29.822868,e280116060000205403e136b
20,-30,29.847003,e280116060000205403de047
805,-32,29.868094,e280116060000205403e136b
21,-30,29.890015,e280116060000205403de047
806,-31,29.905121,e280116060000205403e136b
22,-29,29.929026,e280116060000205403de047
807,-29,29.943063,e280116060000205403e136b
23,-29,29.970454,e280116060000205403de047
808,-29,29.985153,e280116060000205403e136b
24,-30,30.009761,e280116060000205403de047
809,-32,30.023989,e280116060000205403e136b
25,-29,30.047346,e280116060000205403de047
810,-30,30.071622,e280116060000205403e136b
811,-33,30.084951,e280116060000205403e136b
26,-30,30.109644,e280116060000205403de047
812,-32,30.122854,e280116060000205403e136b
27,-30,30.147656,e280116060000205403de047
813,-33,30.162321,e280116060000205403e136b
28,-30,30.189706,e280116060000205403de047
814,-32,30.203587,e280116060000205403e136b
29,-29,30.228356,e280116060000205403de047
815,-30,30.251028,e280116060000205403e136b
30,-29,30.276291,e280116060000205403de047
816,-30,30.292168,e280116060000205403e136b
31,-29,30.317785,e280116060000205403de047
32,-29,30.331361,e280116060000205403de047
817,-31,30.355039,e280116060000205403e136b
33,-29,30.369374,e280116060000205403de047
34,-29,30.394325,e280116060000205403de047
818,-32,30.408009,e280116060000205403e136b
35,-30,30.433979,e280116060000205403de047
819,-31,30.454584,e280116060000205403e136b
36,-29,30.470413,e280116060000205403de047
820,-29,30.493108,e280116060000205403e136b
37,-29,30.512658,e280116060000205403de047
821,-30,30.534662,e280116060000205403e136b
38,-30,30.549877,e280116060000205403de047
822,-29,30.572752,e280116060000205403e136b
39,-29,30.589664,e280116060000205403de047
823,-31,30.613383,e280116060000205403e136b
40,-31,30.627543,e280116060000205403de047
41,-32,30.654096,e280116060000205403de047
824,-31,30.673429,e280116060000205403e136b
42,-31,30.69599,e280116060000205403de047
825,-31,30.710988,e280116060000205403e136b
826,-31,30.735299,e280116060000205403e136b
43,-30,30.750252,e280116060000205403de047
827,-29,30.773766,e280116060000205403e136b
44,-29,30.788024,e280116060000205403de047
828,-29,30.811289,e280116060000205403e136b
45,-30,30.825378,e280116060000205403de047
829,-30,30.849932,e280116060000205403e136b
46,-31,30.862612,e280116060000205403de047
830,-29,30.886569,e280116060000205403e136b
47,-29,30.906677,e280116060000205403de047
831,-31,30.922751,e280116060000205403e136b
48,-32,30.943916,e280116060000205403de047
832,-31,30.959784,e280116060000205403e136b
49,-32,30.981537,e280116060000205403de047
833,-31,30.996532,e280116060000205403e136b
50,-31,31.018819,e280116060000205403de047
834,-29,31.036189,e280116060000205403e136b
51,-29,31.05566,e280116060000205403de047
835,-31,31.078987,e280116060000205403e136b
52,-32,31.100493,e280116060000205403de047
836,-31,31.11824,e280116060000205403e136b
53,-30,31.13907,e280116060000205403de047
837,-29,31.159071,e280116060000205403e136b
54,-33,31.180752,e280116060000205403de047
838,-32,31.200079,e280116060000205403e136b
55,-32,31.221569,e280116060000205403de047
839,-31,31.240954,e280116060000205403e136b
56,-32,31.261058,e280116060000205403de047
840,-32,31.287919,e280116060000205403e136b
57,-32,31.304152,e280116060000205403de047
841,-31,31.325322,e280116060000205403e136b
58,-32,31.344984,e280116060000205403de047
842,-33,31.361947,e280116060000205403e136b
59,-32,31.38449,e280116060000205403de047
843,-30,31.403134,e280116060000205403e136b
60,-31,31.424576,e280116060000205403de047
844,-32,31.440261,e280116060000205403e136b
845,-32,31.465084,e280116060000205403e136b
61,-32,31.479256,e280116060000205403de047
846,-31,31.502841,e280116060000205403e136b
62,-33,31.522059,e280116060000205403de047
847,-32,31.539123,e280116060000205403e136b
63,-33,31.559735,e280116060000205403de047
848,-31,31.575928,e280116060000205403e136b
64,-33,31.597971,e280116060000205403de047
65,-33,31.612345,e280116060000205403de047
849,-31,31.636555,e280116060000205403e136b
850,-31,31.650521,e280116060000205403e136b
66,-30,31.674953,e280116060000205403de047
851,-30,31.693714,e280116060000205403e136b
67,-29,31.718791,e280116060000205403de047
68,-33,31.73232,e280116060000205403de047
69,-32,31.756831,e280116060000205403de047
852,-30,31.770861,e280116060000205403e136b
70,-32,31.793671,e280116060000205403de047
853,-31,31.80758,e280116060000205403e136b
854,-31,31.831973,e280116060000205403e136b
71,-33,31.84582,e280116060000205403de047
855,-30,31.868212,e280116060000205403e136b
856,-31,31.886896,e280116060000205403e136b
857,-31,31.911356,e280116060000205403e136b
72,-33,31.925461,e280116060000205403de047
73,-33,31.950136,e280116060000205403de047
858,-31,31.964041,e280116060000205403e136b
74,-30,31.988042,e280116060000205403de047
859,-31,32.00107,e280116060000205403e136b
75,-33,32.024934,e280116060000205403de047
860,-31,32.037909,e280116060000205403e136b
76,-34,32.06179,e280116060000205403de047
861,-33,32.074866,e280116060000205403e136b
77,-34,32.101147,e280116060000205403de047
78,-33,32.120358,e280116060000205403de047
79,-32,32.146061,e280116060000205403de047
862,-32,32.160321,e280116060000205403e136b
80,-34,32.183182,e280116060000205403de047
863,-32,32.201639,e280116060000205403e136b
81,-33,32.221053,e280116060000205403de047
864,-31,32.2435,e280116060000205403e136b
82,-34,32.258673,e280116060000205403de047
865,-32,32.279879,e280116060000205403e136b
866,-31,32.298368,e280116060000205403e136b
83,-33,32.321701,e280116060000205403de047
867,-31,32.335845,e280116060000205403e136b
868,-31,32.360401,e280116060000205403e136b
84,-32,32.375877,e280116060000205403de047
869,-32,32.399133,e280116060000205403e136b
85,-34,32.415351,e280116060000205403de047
870,-33,32.440413,e280116060000205403e136b
871,-31,32.453287,e280116060000205403e136b
86,-32,32.476938,e280116060000205403de047
872,-30,32.501258,e280116060000205403e136b
873,-30,32.514368,e280116060000205403e136b
87,-34,32.539924,e280116060000205403de047
874,-32,32.555019,e280116060000205403e136b
88,-33,32.579042,e280116060000205403de047
875,-31,32.593522,e280116060000205403e136b
89,-30,32.617094,e280116060000205403de047
876,-29,32.629881,e280116060000205403e136b
877,-30,32.65543,e280116060000205403e136b
90,-32,32.671301,e280116060000205403de047
878,-32,32.693849,e280116060000205403e136b
91,-32,32.71274,e280116060000205403de047
92,-31,32.73183,e280116060000205403de047
879,-33,32.756837,e280116060000205403e136b
93,-33,32.7735,e280116060000205403de047
880,-33,32.796458,e280116060000205403e136b
94,-32,32.815065,e280116060000205403de047
881,-32,32.837345,e280116060000205403e136b
95,-32,32.852715,e280116060000205403de047
96,-29,32.876961,e280116060000205403de047
882,-29,32.893008,e280116060000205403e136b
97,-30,32.915712,e280116060000205403de047
883,-30,32.939384,e280116060000205403e136b
98,-32,32.962129,e280116060000205403de047
884,-32,32.980819,e280116060000205403e136b
99,-31,33.003532,e280116060000205403de047
885,-31,33.022142,e280116060000205403e136b
100,-31,33.039718,e280116060000205403de047
886,-30,33.062899,e280116060000205403e136b
887,-29,33.076831,e280116060000205403e136b
101,-29,33.102463,e280116060000205403de047
888,-30,33.121413,e280116060000205403e136b
889,-30,33.146676,e280116060000205403e136b
102,-31,33.163518,e280116060000205403de047
890,-34,33.183525,e280116060000205403e136b
103,-31,33.2055,e280116060000205403de047
891,-29,33.220459,e280116060000205403e136b
104,-31,33.246795,e280116060000205403de047
892,-30,33.261117,e280116060000205403e136b
105,-30,33.285915,e280116060000205403de047
893,-29,33.302462,e280116060000205403e136b
106,-29,33.323496,e280116060000205403de047
894,-31,33.344767,e280116060000205403e136b
107,-31,33.369462,e280116060000205403de047
895,-31,33.384371,e280116060000205403e136b
108,-30,33.407301,e280116060000205403de047
896,-30,33.425202,e280116060000205403e136b
109,-31,33.444505,e280116060000205403de047
897,-30,33.466854,e280116060000205403e136b
110,-30,33.481085,e280116060000205403de047
111,-29,33.505979,e280116060000205403de047
898,-31,33.527752,e280116060000205403e136b
112,-30,33.546108,e280116060000205403de047
899,-31,33.568894,e280116060000205403e136b
113,-29,33.585777,e280116060000205403de047
900,-29,33.609784,e280116060000205403e136b
901,-29,33.623776,e280116060000205403e136b
114,-29,33.647062,e280116060000205403de047
902,-30,33.664861,e280116060000205403e136b
115,-29,33.683726,e280116060000205403de047
903,-32,33.706148,e280116060000205403e136b
116,-31,33.72235,e280116060000205403de047
904,-31,33.747409,e280116060000205403e136b
117,-30,33.764967,e280116060000205403de047
905,-30,33.789215,e280116060000205403e136b
906,-30,33.80212,e280116060000205403e136b
118,-29,33.827418,e280116060000205403de047
907,-29,33.843693,e280116060000205403e136b
119,-29,33.865839,e280116060000205403de047
908,-30,33.880556,e280116060000205403e136b
909,-30,33.904603,e280116060000205403e136b
910,-30,33.924083,e280116060000205403e136b
120,-29,33.948072,e280116060000205403de047
911,-32,33.964395,e280116060000205403e136b
121,-30,33.98639,e280116060000205403de047
912,-31,34.00645,e280116060000205403e136b
122,-29,34.026446,e280116060000205403de047
913,-30,34.048251,e280116060000205403e136b
123,-29,34.068601,e280116060000205403de047
914,-31,34.08986,e280116060000205403e136b
124,-30,34.111064,e280116060000205403de047
915,-32,34.134379,e280116060000205403e136b
125,-29,34.154616,e280116060000205403de047
916,-30,34.171409,e280116060000205403e136b
126,-29,34.191956,e280116060000205403de047
917,-31,34.212184,e280116060000205403e136b
127,-30,34.233456,e280116060000205403de047
918,-32,34.252906,e280116060000205403e136b
128,-30,34.27185,e280116060000205403de047
919,-32,34.294569,e280116060000205403e136b
129,-29,34.310028,e280116060000205403de047
130,-29,34.337677,e280116060000205403de047
131,-29,34.357605,e280116060000205403de047
920,-32,34.379468,e280116060000205403e136b
