,raw_snr,raw_mag,trans_snr,trans_mag,delta_snr,,,raw_snr,raw_mag,trans_snr,trans_mag,delta_snr,
15bpm1c40sps_1-50sw,52.1460920655667,273.661317000697,74.7217035529299,795.691930932862,22.5756114873632,,"$f = 40{\rm Hz},\,C = 1$ &",52.15dB &,273.66dB &,74.72dB &,795.69dB &,22.58dB,\\
15bpm2c40sps_1-50sw,44.1199295464748,249.36528281708,73.5762750284027,699.315142760234,29.4563454819279,,"$f = 40{\rm Hz},\,C = 2$ &",44.12dB &,249.37dB &,73.58dB &,699.32dB &,29.46dB,\\
15bpm5c40sps_1-50sw,31.4190348280864,192.255303351285,62.0910630463925,473.51701008595,30.6720282183061,,"$f = 40{\rm Hz},\,C = 5$ &",31.42dB &,192.26dB &,62.09dB &,473.52dB &,30.67dB,\\ \hline
15bpm1c96sps_1-50sw,61.394699153441,718.800958820526,93.7369112539404,5336.48113555671,32.3422121004994,,"$f = 96{\rm Hz},\,C = 1$ &",61.39dB &,718.80dB &,93.74dB &,5336.48dB &,32.34dB,\\
15bpm2c96sps_1-50sw,52.7841359172507,651.688719375159,92.6995817097258,4769.94665645581,39.9154457924752,,"$f = 96{\rm Hz},\,C = 2$ &",52.78dB &,651.69dB &,92.70dB &,4769.95dB &,39.92dB,\\
15bpm5c96sps_1-50sw,39.5145097699846,488.773054268294,83.0010403903608,2642.03255686922,43.4865306203762,,"$f = 96{\rm Hz},\,C = 5$ &",39.51dB &,488.77dB &,83.00dB &,2642.03dB &,43.49dB,\\ \hline
15bpm1c153sps_1-50sw,61.247557964222,718.321397505289,94.9443111614369,4567.86353300627,33.6967531972149,,"$f = 152{\rm Hz},\,C = 1$ &",61.25dB &,718.32dB &,94.94dB &,4567.86dB &,33.70dB,\\
15bpm2c153sps_1-50sw,52.332536135083,641.529695238431,93.4815029233873,3784.1876817029,41.1489667883042,,"$f = 152{\rm Hz},\,C = 2$ &",52.33dB &,641.53dB &,93.48dB &,3784.19dB &,41.15dB,\\
15bpm5c153sps_1-50sw,38.5799196050592,468.110585862156,85.1873941339703,2301.47999840292,46.6074745289111,,"$f = 152{\rm Hz},\,C = 5$ &",38.58dB &,468.11dB &,85.19dB &,2301.48dB &,46.61dB,\\ \hline
,,,,,,,,,,,,,
30bpm1c40sps_1-50sw,34.2896361876551,149.973682832069,53.0891629668371,264.964096298528,18.799526779182,,"$f = 40{\rm Hz},\,C = 1$ &",34.29dB &,149.97dB &,53.09dB &,264.96dB &,18.80dB,\\
30bpm2c40sps_1-50sw,29.5417161712639,152.485691255669,46.6834124685759,183.344956886379,17.141696297312,,"$f = 40{\rm Hz},\,C = 2$ &",29.54dB &,152.49dB &,46.68dB &,183.34dB &,17.14dB,\\
30bpm5c40sps_1-50sw,18.3943642466165,130.737381388257,42.7521278568035,152.942100126322,24.3577636101869,,"$f = 40{\rm Hz},\,C = 5$ &",18.39dB &,130.74dB &,42.75dB &,152.94dB &,24.36dB,\\ \hline
30bpm1c96sps_1-50sw,70.8729074245007,1205.57936385794,96.1866720343159,4334.86453582756,25.3137646098153,,"$f = 96{\rm Hz},\,C = 1$ &",70.87dB &,1205.58dB &,96.19dB &,4334.86dB &,25.31dB,\\
30bpm2c96sps_1-50sw,62.6877907212169,1081.86250200747,99.4336945080903,4317.61113215257,36.7459037868734,,"$f = 96{\rm Hz},\,C = 2$ &",62.69dB &,1081.86dB &,99.43dB &,4317.61dB &,36.75dB,\\
30bpm5c96sps_1-50sw,49.6819301055868,814.789229932602,81.7731554654379,2079.64930217118,32.0912253598512,,"$f = 96{\rm Hz},\,C = 5$ &",49.68dB &,814.79dB &,81.77dB &,2079.65dB &,32.09dB,\\ \hline
30bpm1c152sps_1-50sw,71.3440446558876,1228.04359751521,94.645491433207,4205.89497006649,23.3014467773193,,"$f = 152{\rm Hz},\,C = 1$ &",71.34dB &,1228.04dB &,94.65dB &,4205.89dB &,23.30dB,\\
30bpm2c152sps_1-50sw,62.6695626176691,1082.98099623639,99.7362521100045,4327.75452522626,37.0666894923353,,"$f = 152{\rm Hz},\,C = 2$ &",62.67dB &,1082.98dB &,99.74dB &,4327.75dB &,37.07dB,\\
30bpm5c152sps_1-50sw,49.3921293075322,804.859019025854,81.0034819244744,2192.11133218765,31.6113526169422,,"$f = 152{\rm Hz},\,C = 5$ &",49.39dB &,804.86dB &,81.00dB &,2192.11dB &,31.61dB,\\ \hline
