,prx,time (s),epc96
1525,-50,36.010041,e280116060000209e445f02a
1526,-50,36.024556,e280116060000209e445f02a
1527,-50,36.037054,e280116060000209e445f02a
0,-43,36.049285,e280116060000205403ddcdb
1,-43,36.063008,e280116060000205403ddcdb
2,-44,36.075106,e280116060000205403ddcdb
1528,-50,36.08894,e280116060000209e445f02a
3,-44,36.101767,e280116060000205403ddcdb
4,-44,36.115853,e280116060000205403ddcdb
5,-44,36.127444,e280116060000205403ddcdb
6,-44,36.140125,e280116060000205403ddcdb
7,-44,36.154022,e280116060000205403ddcdb
1529,-50,36.166083,e280116060000209e445f02a
8,-44,36.180353,e280116060000205403ddcdb
1530,-50,36.19292,e280116060000209e445f02a
9,-44,36.204648,e280116060000205403ddcdb
1531,-50,36.216697,e280116060000209e445f02a
10,-32,36.230183,e280116060000205403ddcdb
1532,-51,36.249554,e280116060000209e445f02a
1533,-51,36.264648,e280116060000209e445f02a
1534,-51,36.282122,e280116060000209e445f02a
1535,-51,36.295979,e280116060000209e445f02a
1536,-51,36.310915,e280116060000209e445f02a
11,-40,36.325336,e280116060000205403ddcdb
12,-39,36.339848,e280116060000205403ddcdb
1537,-51,36.351803,e280116060000209e445f02a
1538,-51,36.366157,e280116060000209e445f02a
13,-32,36.382746,e280116060000205403ddcdb
1539,-51,36.395853,e280116060000209e445f02a
1540,-51,36.407786,e280116060000209e445f02a
14,-39,36.42061,e280116060000205403ddcdb
1541,-51,36.433803,e280116060000209e445f02a
1542,-51,36.445719,e280116060000209e445f02a
15,-30,36.463899,e280116060000205403ddcdb
16,-40,36.477716,e280116060000205403ddcdb
1543,-51,36.489576,e280116060000209e445f02a
17,-40,36.501768,e280116060000205403ddcdb
1544,-51,36.515235,e280116060000209e445f02a
1545,-51,36.528079,e280116060000209e445f02a
18,-41,36.540599,e280116060000205403ddcdb
1546,-51,36.553353,e280116060000209e445f02a
19,-44,36.566228,e280116060000205403ddcdb
1547,-51,36.578267,e280116060000209e445f02a
1548,-51,36.590564,e280116060000209e445f02a
1549,-51,36.602722,e280116060000209e445f02a
1550,-51,36.614919,e280116060000209e445f02a
20,-45,36.627509,e280116060000205403ddcdb
1551,-51,36.639836,e280116060000209e445f02a
21,-45,36.657609,e280116060000205403ddcdb
1552,-50,36.671385,e280116060000209e445f02a
22,-45,36.68361,e280116060000205403ddcdb
23,-45,36.696525,e280116060000205403ddcdb
24,-45,36.709035,e280116060000205403ddcdb
25,-45,36.721536,e280116060000205403ddcdb
26,-45,36.734747,e280116060000205403ddcdb
1553,-50,36.746941,e280116060000209e445f02a
1554,-49,36.759412,e280116060000209e445f02a
27,-45,36.770979,e280116060000205403ddcdb
1555,-50,36.784649,e280116060000209e445f02a
28,-45,36.797395,e280116060000205403ddcdb
29,-45,36.810794,e280116060000205403ddcdb
30,-45,36.822752,e280116060000205403ddcdb
31,-45,36.834958,e280116060000205403ddcdb
32,-45,36.847988,e280116060000205403ddcdb
33,-44,36.86031,e280116060000205403ddcdb
1556,-51,36.873128,e280116060000209e445f02a
1557,-51,36.886056,e280116060000209e445f02a
1558,-51,36.898746,e280116060000209e445f02a
1559,-51,36.910671,e280116060000209e445f02a
34,-44,36.92314,e280116060000205403ddcdb
1560,-51,36.935478,e280116060000209e445f02a
35,-44,36.948175,e280116060000205403ddcdb
1561,-51,36.961314,e280116060000209e445f02a
36,-44,36.97412,e280116060000205403ddcdb
37,-44,36.987202,e280116060000205403ddcdb
38,-44,37.002136,e280116060000205403ddcdb
1562,-51,37.015664,e280116060000209e445f02a
39,-44,37.028369,e280116060000205403ddcdb
40,-44,37.0403,e280116060000205403ddcdb
1563,-51,37.052201,e280116060000209e445f02a
41,-44,37.064748,e280116060000205403ddcdb
42,-41,37.08182,e280116060000205403ddcdb
1564,-49,37.094347,e280116060000209e445f02a
43,-38,37.108564,e280116060000205403ddcdb
1565,-49,37.121448,e280116060000209e445f02a
44,-39,37.133772,e280116060000205403ddcdb
45,-40,37.146989,e280116060000205403ddcdb
46,-40,37.159121,e280116060000205403ddcdb
47,-39,37.172027,e280116060000205403ddcdb
1566,-49,37.184963,e280116060000209e445f02a
48,-32,37.20283,e280116060000205403ddcdb
1567,-49,37.215484,e280116060000209e445f02a
